 Ameur Altania,5,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Waco CRG,2,300000,0.0,300000
Letov Š-13,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Focke-Wulf A 32,5,300000,0.0,300000
Boeing Condor,2,300000,0.0,300000
Kimura HK-1,1,300000,0.0,300000
Schneider ES-52,44,300000,0.01,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Martin 146,1,300000,0.0,""
Yatsenko I-28,7,300000,0.0,300000
Raab Doppelraab,360,300000,0.1,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Yokosuka E5Y,20,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Farman HF.30,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
CVV 8 Bonaventura,15,300000,0.0,""
Fokker Spin,25,300000,0.0,300000
ICAR 36,1,300000,0.0,300000
Lippisch Ente,1,300000,0.0,300000
British Aircraft Double Eagle,3,300000,0.0,300000
Ryan X-13 Vertijet,2,300000,0.0,300000
PZL SM-4 Łątka,1,300000,0.0,""
Preceptor STOL King,6,25000,0.0,"[[US$]]25,000 (kit, 2011)"
Ace Junior Ace,202,1800,0.0,approximately $1800 to build in 1971<ref>{{cite journal|magazine=Air Trails|date=Winter 1971|title=The true cost of building your own plane|author=Leo J. Kohn|page=63}}</ref>
Radioplane Q-1,34,300000,0.01,300000
Goodyear Inflatoplane,12,300000,0.0,""
CVV 3 Arcore,1,300000,0.0,""
Tupolev Tu-70,1,300000,0.0,300000
Handley Page H.P.31 Harrow,2,300000,0.0,300000
Lockheed Little Dipper,1,300000,0.0,300000
Tupolev ANT-41,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Breda Ba.46,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Romano R.82,180,300000,0.05,300000
Thurston Teal,38,300000,0.01,300000
Piper PA-30 Twin Comanche,2142,300000,0.64,300000
Beardmore W.B.IV,1,300000,0.0,300000
Blackburn Triplane,1,300000,0.0,300000
Dassault Mirage F2,1,300000,0.0,300000
Percival Merganser,2,300000,0.0,""
Alexander Bullet,11,6666,0.0,"C1 $8,888 C3 $6,666 in 1929 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->"
Arnet Pereyra Sabre II,3,18600,0.0,"[[US$]]18,600 (Kit price 2001, including engine, propeller and instruments)"
Sage Type 2,1,300000,0.0,300000
Fiat R.2,129,300000,0.03,300000
Sikorsky S-75,2,300000,0.0,""
Scaled Composites White Knight,1,300000,0.0,""
Savoia-Marchetti SM.75,90,300000,0.02,""
Halberstadt D.I,2,300000,0.0,300000
Nakajima B3N,2,300000,0.0,300000
Avro Shackleton,185,300000,0.05,""
Rihn DR-107 One Design,56,370,0.0,"[[US$]]370 (plans only, 2013)"
Wright XF3W Apache,1,300000,0.0,300000
Cierva C.9,2,300000,0.0,300000
Lehtovaara PIK-16 Vasama,56,300000,0.01,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Aermacchi MB-339,230,8300000,1.9,$8.3 million
Rogožarski SIM-VIII,5,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Spartan C5,4,300000,0.0,300000
